,AGP,AMS,ARN,ATH,BCN,BRU,CDG,CPH,DUB,DUS,FCO,FRA,HEL,IST,LGW,LHR,LIS,LTN,MAD,MAN,MUC,MXP,ORY,OSL,PMI,STN,TXL,VIE,WAW,ZRH
2017-06-06,3.167,15.549666666666665,5.167,6.667,12.578857142857142,10.0,24.778,5.5,5.666714285714286,9.875,11.133,17.523857142857143,3.6386666666666665,10.4002,21.666499999999996,32.083499999999994,6.533666666666666,23.166499999999996,11.250142857142857,7.666333333333332,11.995,8.167,27.299999999999997,4.078285714285714,8.904714285714284,17.374999999999996,6.667,9.636,4.533333333333333,10.857999999999999
2017-06-07,3.167,15.566333333333333,5.04935294117647,6.667,12.590714285714286,10.0,24.139,5.166666666666666,5.0,10.25,11.233,17.071571428571428,3.583,10.083499999999997,21.833199999999998,32.4002,6.717,23.199799999999996,11.133571428571427,7.833,11.91,8.200299999999999,27.15,4.073571428571428,8.964142857142857,17.4834,6.714571428571428,9.617,4.55,10.683
2017-06-08,3.167,15.583,4.931705882352941,6.667,12.602571428571428,10.0,23.5,4.833333333333333,5.0,10.625,11.333,16.619285714285716,3.5829999999999997,9.7668,21.999899999999997,32.7169,6.764571428571428,23.233099999999997,11.017,7.833,11.825,8.2336,27.0,4.0688571428571425,9.02357142857143,17.5918,6.762142857142857,9.561333333333334,4.561857142857142,10.508
2017-06-09,3.0389999999999997,15.547285714285714,4.814058823529411,6.667,12.614428571428572,10.0,24.857142857142858,4.5,4.999999999999999,11.0,11.433,16.167,3.5829999999999997,9.450099999999999,22.1666,33.0336,6.812142857142857,23.266399999999997,11.250333333333334,7.833,11.739999999999998,8.2669,26.976142857142857,4.064142857142857,9.083,17.7002,6.809714285714286,9.505666666666666,4.573714285714286,10.333
2017-06-10,2.9109999999999996,15.511571428571429,4.696411764705882,6.667,12.626285714285714,10.0,26.214285714285715,4.4761428571428565,5.0,11.0,11.533,16.917,3.583,9.1334,22.333299999999994,33.3503,6.859714285714285,23.299699999999998,11.483666666666666,7.833,11.655,8.3002,26.95228571428571,4.059428571428572,9.194333333333333,17.8086,6.857285714285714,9.45,4.585571428571428,10.880714285714285
2017-06-11,2.783,15.47585714285714,4.578764705882353,6.717,12.638142857142858,10.0,27.57142857142857,4.452285714285715,5.0,11.0,11.538666666666666,17.667,3.69975,8.816699999999999,22.5,33.667,6.907285714285714,23.333,11.717,7.833,11.569999999999999,8.333499999999997,26.92842857142857,4.054714285714286,9.305666666666667,17.917,6.904857142857143,9.528571428571428,4.597428571428571,11.428428571428572
2017-06-12,2.8115714285714284,15.440142857142856,4.461117647058823,6.7669999999999995,12.65,10.0,28.92857142857143,4.428428571428571,4.999999999999999,11.0,11.544333333333334,18.417,3.8165,8.5,22.607142857142854,33.63128571428571,6.954857142857143,23.452142857142853,12.052714285714286,7.694166666666666,11.485,8.3668,26.904571428571426,4.05,9.417,17.986,6.952428571428571,9.607142857142858,4.609285714285714,11.976142857142856
2017-06-13,2.8401428571428573,15.404428571428571,4.343470588235294,6.817,12.744333333333334,11.5,30.285714285714285,4.404571428571428,5.0,11.0,11.55,18.5835,3.9332499999999997,8.5,22.714285714285715,33.59557142857143,7.002428571428571,23.571285714285715,12.388428571428571,7.555333333333333,11.4,8.400099999999998,26.880714285714284,4.073857142857142,9.452714285714285,18.055,7.0,9.685714285714285,4.621142857142857,12.523857142857143
2017-06-14,2.8687142857142858,15.368714285714285,4.225823529411764,6.866999999999999,12.838666666666667,13.0,31.642857142857142,4.380714285714285,5.0,11.0,11.571428571428571,18.75,4.05,8.5,22.82142857142857,33.55985714285714,7.05,23.69042857142857,12.724142857142857,7.416499999999999,11.083333333333332,8.433399999999999,26.85685714285714,4.097714285714286,9.488428571428571,18.124,6.833333333333332,9.764285714285712,4.633,13.071571428571428
2017-06-15,2.8972857142857142,15.333,4.108176470588235,6.917,12.933,14.5,33.0,4.356857142857143,4.999999999999999,11.0,11.592857142857142,18.9165,4.05,8.5,22.928571428571427,33.524142857142856,7.016666666666666,23.809571428571427,13.059857142857142,7.277666666666666,10.766666666666666,8.4667,26.833,4.121571428571428,9.524142857142856,18.192999999999998,6.666666666666666,9.842857142857143,4.4943333333333335,13.619285714285713
2017-06-16,2.9258571428571427,15.527666666666665,3.9905294117647054,7.025299999999999,13.242571428571427,14.333285714285713,32.83333333333333,4.333,5.0,10.875,11.614285714285714,19.083,4.05,8.5,23.035714285714285,33.48842857142857,6.9833333333333325,23.928714285714285,13.39557142857143,7.1388333333333325,10.45,8.5,26.777666666666665,4.145428571428571,9.559857142857142,18.262,6.5,9.92142857142857,4.355666666666666,14.167
